,OG_INTL_FREE_CALL_MOU,OG_ONN_FREE_CALL_MOU,FREE_GPRS_MB,TOTAL_REVENUE,TOTAL_REVENUE_VAS,ROAMING_REV,F_CHURN_3M,MONTH
803985,,,29918.731,18.0,9.0,0.0,1,october
431536,,,0.013000000000000001,9.76,4.88,0.0,1,october
59287,,,14688.528999999999,36.0,18.0,0.0,1,october
19045,,,0.0,24.0,12.0,0.0,1,october
453323,1.15,1566.6170000000002,8537.953000000001,68.62,34.31,0.0,1,october
402038,,,28642.56,36.0,20.5,0.0,1,october
199606,,,115315.757,36.0,18.0,0.0,1,october
594486,1.95,58.083,5326.0869999999995,30.572,15.286,0.0,1,october
929452,,43.433,23680.243,40.0,22.17,0.0,1,october
359966,,,34371.532999999996,18.0,9.0,0.0,1,october
526821,,,19724.826,18.0,9.0,0.0,1,october
804130,,84.633,9030.328000000001,26.854,13.427,0.0,1,october
244382,,,6785.329000000001,18.0,9.0,0.0,1,october
1396020,,,0.0,24.0,12.0,0.0,1,october
214782,,0.517,2447.15,60.0,30.0,0.0,1,october
829169,,,106961.418,36.0,18.0,0.0,1,october
797433,,,6231.684,18.0,9.0,0.0,1,october
440342,,579.1,0.0,30.0,15.0,0.0,1,october
1121511,23.916999999999998,3.917,4743.403,20.0,10.0,0.0,1,october
135933,,25.05,12883.168,43.36,24.78,0.0,1,october
413242,,,46655.139,18.0,9.0,0.0,1,october
59753,,,,0.0,3.0,,1,october
715992,,,174910.98100000003,36.0,18.0,0.0,1,october
424943,,,19881.887,18.0,9.0,0.0,1,october
678383,,,50640.474,18.0,9.0,0.0,1,october
719666,,,106439.82199999999,36.0,18.0,0.0,1,october
399279,,,67032.233,18.0,9.0,0.0,1,october
1019374,,,62680.12,26.0,13.0,0.0,1,october
464742,,,67380.049,18.0,9.0,0.0,1,october
1180707,0.867,13.533,4668.491,22.401999999999997,11.200999999999999,0.0,1,october
1314614,,136.083,8719.999,30.0,15.0,0.0,1,october
237503,,,13574.22,22.0,11.0,0.0,1,october
679374,,48.266999999999996,18.63,38.688,19.344,4.35,1,october
626120,,,4069.6740000000004,18.0,9.0,0.0,1,october
868234,22.4,,4985.7029999999995,20.0,10.0,0.0,1,october
